epoch,step,ppl,loss
0,2000064,1.7867668110537203,0.01
0,4000128,1.6960150455948713,0.01
0,2000016,1.7713957517562653,0.02
0,4000032,1.6937153604186888,0.01
0,2000016,1.9294916744239998,0.02
0,4000032,1.7953386751531946,0.01
0,2000016,1.7788877642107315,0.02
0,4000032,1.7041320403542295,0.01
0,2000016,1.7712453595396622,0.02
0,4000032,1.7043834475792288,0.01
0,2000016,1.7755422767619065,0.02
0,4000032,1.6984448816925033,0.01
0,2000016,1.965941887309172,0.02
0,4000032,1.8729040527801004,0.01
0,2000016,1.9642778877940932,0.02
0,4000032,1.8608713983083085,0.01
