step,ppl,loss
200064,6.03554491895688,0.01
400128,2.746663947059081,0.01
600192,2.2788663216625715,0.01
800256,2.1277848386920954,0.01
1000320,2.0140542563531127,0.01
1200384,1.9492572459066924,0.01
1400448,1.8970385179723612,0.01
1600512,1.878734132008826,0.01
1800576,1.8521422028398673,0.02
2000640,1.830002330859808,0.0
2200704,1.8080281771498068,0.0
2400768,1.8067562945836215,0.0
2600832,1.7852456114975168,0.0
2800896,1.7761040892512872,0.0
3000960,1.7832401319901114,0.0
200064,5.576313747839855,0.01
400128,2.7270537853451544,0.01
