step,ppl,loss
100032,20.811437425292905,0.01
200064,7.198377581370972,0.01
300096,4.259393943556102,0.01
400128,3.436687800665314,0.02
500160,3.010034003803955,0.02
600192,2.852871861372057,0.02
700224,2.7711884495662042,0.02
800256,2.696459586284032,0.02
900288,2.582688122301231,0.02
1000320,2.511556457735906,0.0
1100352,2.460908998033157,0.0
1200384,2.4287629744351267,0.0
1300416,2.3808630573971485,0.0
1400448,2.3559800086242615,0.01
1500480,2.3448314003780384,0.01
1600512,2.3278755797915522,0.01
1700544,2.2999174403256517,0.01
1800576,2.2678802378360463,0.01
1900608,2.250392659608029,0.01
2000640,2.2310117126978244,0.0
2100672,2.1515337708320628,0.0
2200704,2.1420549651281657,0.0
2300736,2.124649549929943,0.0
2400768,2.1143787247783266,0.0
2500800,2.106242819538098,0.01
2600832,2.0940405458860796,0.01
2700864,2.086784519897947,0.01
2800896,2.0775006748065845,0.01
2900928,2.0705443327040958,0.01
3000960,2.0631835030546397,0.0
3100992,2.0573175225132982,0.0
3201024,2.0493754261485706,0.0
3301056,2.0477628184252636,0.0
3401088,2.038919313279715,0.0
3501120,2.0381064499090358,0.01
3601152,2.0368726457997277,0.01
3701184,2.02308354610974,0.01
3801216,2.01152726030756,0.01
3901248,2.0150153160621858,0.01
4001280,2.0051277180807414,0.0
4101312,1.9823966530303017,0.0
4201344,1.9716334606578727,0.0
4301376,1.9722713874168072,0.0
4401408,1.9653923997295208,0.0
4501440,1.9608128535029037,0.01
4601472,1.9585453495387966,0.01
4701504,1.960935389630687,0.01
4801536,1.9498578217549443,0.01
4901568,1.9465448740417177,0.01
5001600,1.9461026758077808,0.0
5101632,1.9429711217570282,0.0
5201664,1.9401562664929382,0.0
5301696,1.938303667756427,0.0
5401728,1.9372503062910595,0.0
5501760,1.9350305215986643,0.0
5601792,1.9302287421417597,0.01
5701824,1.9299314596856871,0.01
5801856,1.9259519735470523,0.01
5901888,1.923275262845281,0.01
6001920,1.9200117359179434,0.0
