step,ppl,loss
200064,5.64342632797432,0.01
400128,2.611315336793569,0.01
600192,2.225497843211295,0.01
800256,2.06039731195391,0.01
1000320,1.9662847974519837,0.01
1200384,1.9277688032459757,0.01
1400448,1.8961521086877215,0.01
1600512,1.8553191324444827,0.01
1800576,1.8293772050013912,0.01
2000640,1.8231168012199068,0.0
2200704,1.7981140992745384,0.0
2400768,1.786597530613652,0.0
2600832,1.7705209725257027,0.0
2800896,1.7626809789874067,0.0
3000960,1.7528624184522243,0.0
3201024,1.7417338575882744,0.0
3401088,1.7368572890574259,0.01
3601152,1.7287941127460873,0.01
3801216,1.726049461467628,0.01
200016,8.702622702449483,0.01
400032,3.365192052596195,0.01
600048,2.598885347494063,0.01
800064,2.3785989480878675,0.02
1000080,2.2188836752778007,0.02
1200096,2.1398597496795726,0.02
1400112,2.088384774165773,0.02
1600128,2.0366924233063863,0.02
1800144,1.9940978561348062,0.02
2000160,1.9647271529213275,0.0
2200176,1.9456016725489382,0.0
2400192,1.9203686695897266,0.0
2600208,1.9026477020716834,0.0
2800224,1.8909048347486381,0.01
3000240,1.8873917275998473,0.01
3200256,1.8570349486902544,0.01
3400272,1.846593177744992,0.01
3600288,1.8415186015237928,0.01
3800304,1.8267742402319969,0.01
4000320,1.8161695104060163,0.0
200016,3.6481946732943595,0.01
400032,2.3079076958081677,0.01
600048,2.0892186717470844,0.01
800064,2.0173373467523166,0.01
1000080,1.9413397362778055,0.01
1200096,1.9015185434083803,0.01
1400112,1.8675381775556938,0.01
1600128,1.8412124326977999,0.02
1800144,1.8215384481382042,0.02
2000160,1.8059629197451874,0.0
2200176,1.7964224428357736,0.0
2400192,1.7799302929320566,0.0
2600208,1.7690271665888866,0.0
2800224,1.7534958225839499,0.0
3000240,1.7524746542630922,0.01
3200256,1.7469314841410089,0.01
3400272,1.733406563969668,0.01
3600288,1.727961437483028,0.01
3800304,1.7185832598060322,0.01
4000320,1.7155396235221554,0.0
