step,ppl,loss
200064,3.4158173376780927,0.0
400128,2.2547833022917265,0.01
600192,2.052816301977196,0.01
800256,1.9579648878527594,0.01
1000320,1.8892025212054524,0.01
1200384,1.8604550008314746,0.01
1400448,1.8243550264108115,0.01
1600512,1.79799008408553,0.01
1800576,1.7856724610667705,0.01
2000640,1.769696636212285,0.0
2200704,1.7562673613217552,0.0
2400768,1.7508466556375917,0.0
2600832,1.7337448691488493,0.0
2800896,1.7261239520443492,0.0
3000960,1.7148937027985782,0.0
200064,13.666285261755283,0.01
3201024,1.705465769618853,0.0
400128,3.722704874853269,0.01
600192,2.6482758055905893,0.01
800256,2.4058564566233263,0.01
3401088,1.7021319033572986,0.01
1000320,2.196047085872186,0.01
1200384,2.1014821926025733,0.02
1400448,2.048608340402408,0.02
3601152,1.7007687265252804,0.01
1600512,2.008953336119825,0.02
1800576,1.9724837086582911,0.02
3801216,1.702011994169109,0.01
2000640,1.9325406544442116,0.0
2200704,1.9100091679977187,0.0
2400768,1.8867049193759797,0.0
2600832,1.8670787959510644,0.0
2800896,1.8504906498470575,0.0
3000960,1.8399801236222981,0.0
3201024,1.832177544962261,0.01
3401088,1.8235288252778463,0.01
3601152,1.8064524060310636,0.01
3801216,1.8025705631008946,0.01
200016,9.986647595171597,0.01
400032,3.3387178589993716,0.01
600048,2.582896611313137,0.01
800064,2.390168151805231,0.02
1000080,2.175045618987762,0.02
1200096,2.0966271895594,0.02
1400112,2.0349220377617803,0.02
1600128,1.9905221482705833,0.02
1800144,1.9564646153440686,0.02
2000160,1.93762698630626,0.0
2200176,1.914005360590698,0.0
2400192,1.8871876852992626,0.0
2600208,1.8770561621065929,0.0
2800224,1.8490837602523305,0.01
3000240,1.8396785311966346,0.01
3200256,1.829022215771063,0.01
3400272,1.8133418858220514,0.01
3600288,1.8046455367206662,0.01
3800304,1.7986301836189236,0.01
4000320,1.7916349354440666,0.0
200016,3.067391284226123,0.01
400032,2.1812748015096126,0.01
600048,2.0241787340594244,0.01
800064,1.9344081142168152,0.01
1000080,1.878091015407215,0.01
1200096,1.8413976714119356,0.01
1400112,1.8169615843131952,0.01
1600128,1.7956826022487884,0.01
1800144,1.788993945844346,0.02
2000160,1.7674591083510367,0.0
2200176,1.7723719423843494,0.0
2400192,1.7469541322289261,0.0
2600208,1.7393253672710316,0.0
2800224,1.7283431487943492,0.0
3000240,1.7298598109220573,0.01
3200256,1.7169247655400448,0.01
3400272,1.7018963858183458,0.01
3600288,1.6932084216401295,0.01
3800304,1.688733889096829,0.01
4000320,1.6904490032554629,0.0
200016,3.063518242485237,0.01
400032,2.1883957953748174,0.01
600048,2.013208193746202,0.01
800064,1.9516176548404849,0.01
1000080,1.8803188679278608,0.01
1200096,1.8526556928047555,0.01
1400112,1.8217833454048933,0.01
1600128,1.8009160123528098,0.01
1800144,1.798949906024472,0.02
2000160,1.7659147051138635,0.0
2200176,1.7563616626985095,0.0
2400192,1.7481285902417636,0.0
2600208,1.737112021981696,0.0
2800224,1.7241023119131733,0.0
3000240,1.721266010094724,0.01
3200256,1.7161773256635555,0.01
3400272,1.712197523328846,0.01
3600288,1.7025952714451118,0.01
3800304,1.6978719936967324,0.01
4000320,1.695702789356397,0.0
200016,3.850373589453295,0.01
400032,2.4029819943251938,0.01
600048,2.096681936525274,0.01
800064,2.0003974136964175,0.01
1000080,1.9014109538019768,0.01
1200096,1.860069084284802,0.01
1400112,1.8362404560412557,0.01
1600128,1.816542392145248,0.02
1800144,1.8005898431621286,0.02
2000160,1.78431188289348,0.0
2200176,1.7627348873218327,0.0
2400192,1.760988159312351,0.0
2600208,1.7515693705327564,0.0
2800224,1.7308062269412248,0.0
3000240,1.737914803757456,0.01
3200256,1.7192984208662978,0.01
3400272,1.717070400259877,0.01
3600288,1.7165989033484428,0.01
3800304,1.7049224314332558,0.01
4000320,1.693098282424458,0.0
200016,3.1744152715654224,0.01
