step,ppl,loss
200064,14.785968648545802,0.01
400128,5.034415342711355,0.01
600192,3.6261428578495116,0.01
800256,3.054803005581541,0.01
1000320,2.80256555919865,0.02
1200384,2.635496812410952,0.02
1400448,2.511505551672412,0.02
1600512,2.4148365136584484,0.02
1800576,2.326788550460762,0.02
2000640,2.256664797888367,0.0
2200704,2.187643286038871,0.0
2400768,2.1538624446419585,0.0
2600832,2.1107126985406373,0.0
2800896,2.076112648206031,0.01
3000960,2.0690415966857474,0.01
3201024,2.0443665504786472,0.01
3401088,2.0150154542640197,0.01
3601152,1.9990586511690633,0.01
3801216,1.9741423232842226,0.01
200016,9.12560537870536,0.01
400032,4.1487316606804505,0.01
600048,3.2211285649274894,0.01
800064,2.924289187184118,0.02
1000080,2.71983353780742,0.02
1200096,2.572052779193782,0.02
1400112,2.482403766664449,0.02
1600128,2.3974582801428617,0.02
1800144,2.3671485472910714,0.03
2000160,2.2802389819241045,0.0
2200176,2.1962859299677597,0.0
2400192,2.165876563313887,0.0
2600208,2.1261650827297855,0.01
2800224,2.08176484342464,0.01
3000240,2.06544114870872,0.01
3200256,2.03989904993724,0.01
3400272,2.0102939376108475,0.01
3600288,1.9803516035779072,0.01
3800304,1.9744564152224178,0.01
4000320,1.9675792934661271,0.0
200016,26.315926544945004,0.01
400032,7.272889373693682,0.02
600048,4.49886719085961,0.02
800064,3.924360657172973,0.02
1000080,3.3530246688322225,0.03
1200096,3.088285448754084,0.03
1400112,2.9475832855834563,0.03
1600128,2.815424323849073,0.03
1800144,2.721349851271834,0.03
2000160,2.639746211047549,0.0
2200176,2.5720605781255674,0.0
2400192,2.5429432994972965,0.0
2600208,2.447261860751029,0.01
2800224,2.4182961638677263,0.01
3000240,2.351691701759503,0.01
3200256,2.320514911733195,0.01
3400272,2.276596922843165,0.01
3600288,2.2424580883839913,0.02
3800304,2.242744720017494,0.02
4000320,2.2348135412547814,0.0
