step,ppl,loss
100032,28.22038354488456,0.01
200064,9.603753431695761,0.01
300096,4.660320919716384,0.01
400128,3.755958549184128,0.01
500160,3.1743019567825472,0.01
600192,2.843595939744869,0.01
700224,2.7379612181607236,0.01
800256,2.630739874153643,0.02
900288,2.5379965473101618,0.02
1000320,2.472482689557748,0.0
1100352,2.443424440972547,0.0
1200384,2.39935154669591,0.0
1300416,2.333458898743834,0.0
1400448,2.310235544430717,0.0
1500480,2.285439450577555,0.0
1600512,2.2656620420616633,0.01
1700544,2.2498599386094833,0.01
1800576,2.2224084537388133,0.01
1900608,2.196161227942491,0.01
2000640,2.17881763798463,0.0
2100672,2.1157559147540157,0.0
2200704,2.1042544857114223,0.0
2300736,2.090958984532391,0.0
2400768,2.07777610211088,0.0
2500800,2.0713050217536693,0.0
2600832,2.0668709231160274,0.0
2700864,2.0554089541012424,0.01
2800896,2.055489225002372,0.01
2900928,2.0421376015268016,0.01
3000960,2.03790588059159,0.0
3100992,2.0276371489416802,0.0
3201024,2.027585495597897,0.0
3301056,2.019274532888996,0.0
3401088,2.0154135539577602,0.0
3501120,2.0080698858115453,0.0
3601152,2.005949106190851,0.0
3701184,2.0003811075996625,0.0
3801216,1.9968820488614667,0.01
3901248,1.9901984074018702,0.01
4001280,1.9820359011259165,0.0
4101312,1.9676737237932103,0.0
4201344,1.959417927773001,0.0
4301376,1.953374634198339,0.0
4401408,1.9506138384323386,0.0
4501440,1.9472288189644542,0.0
