step,ppl,loss
200064,5.956897647807549,0.01
400128,2.8909209614845115,0.01
600192,2.4424269706787323,0.01
800256,2.247199736110164,0.01
1000320,2.116387363668722,0.01
1200384,2.056810604616728,0.01
1400448,2.0015410104164015,0.01
1600512,1.9599763204318763,0.01
1800576,1.9330125735705677,0.02
2000640,1.9087021936942228,0.0
2200704,1.8846124654297243,0.0
2400768,1.8751114733654892,0.0
2600832,1.8505154381895748,0.0
2800896,1.841700666582958,0.0
3000960,1.8253337892927393,0.0
3201024,1.8162505863126643,0.01
3401088,1.8070557761377328,0.01
3601152,1.7956302892852676,0.01
3801216,1.7955120976403958,0.01
4001280,1.7742012269443823,0.0
