step,ppl,loss
200064,4.271551744327674,0.0
400128,2.391088202498883,0.01
600192,2.0864450222505364,0.01
800256,1.9683080427684692,0.01
1000320,1.9048386601407208,0.01
1200384,1.8666096036121766,0.01
1400448,1.8410392765005819,0.01
1600512,1.8110109171230524,0.01
1800576,1.7849506066504446,0.01
2000640,1.7738683432346263,0.0
2200704,1.7831816490828656,0.0
2400768,1.7609476681560623,0.0
2600832,1.7367304822231542,0.0
2800896,1.732600983028028,0.0
3000960,1.7231210114399227,0.0
3201024,1.7151557783863611,0.0
3401088,1.7142371567827874,0.01
3601152,1.6996068058461542,0.01
3801216,1.6960542907730487,0.01
