step,ppl,loss
200064,4.354798353768984,0.0
400128,2.401713448460941,0.01
600192,2.1052141422037445,0.01
800256,1.9833012727613848,0.01
1000320,1.9144270075479823,0.01
1200384,1.879082939360211,0.01
1400448,1.8506294093623266,0.01
200064,4.296867347539738,0.0
400128,2.4491245117663403,0.01
600192,2.114027543749601,0.01
800256,1.989841086421808,0.01
1000320,1.910650780288047,0.01
1200384,1.8904288651536942,0.01
1400448,1.8388974589208318,0.01
1600512,1.8119522457611341,0.01
1800576,1.7898172593614625,0.01
2000640,1.7776748985832374,0.0
2200704,1.7704700103175204,0.0
2400768,1.7619582647841388,0.0
2600832,1.741677296875358,0.0
2800896,1.7325480049261572,0.0
3000960,1.723815599786514,0.0
3201024,1.7187789422496622,0.0
3401088,1.7100585885818325,0.01
3601152,1.7028103747673797,0.01
3801216,1.6958411876113397,0.01
