step,ppl,loss
200064,6.959409550058902,0.01
400128,3.358840551784562,0.01
600192,2.8266048048145875,0.01
800256,2.5887919645430983,0.01
1000320,2.4461886515023843,0.01
1200384,2.3849475831836866,0.01
1400448,2.3127842111005728,0.02
1600512,2.2778051896513722,0.02
1800576,2.2558794799162967,0.02
2000640,2.2033317100286527,0.0
2200704,2.1879205810528104,0.0
2400768,2.145295658026439,0.0
2600832,2.1325249518665874,0.0
2800896,2.1003215933182995,0.0
3000960,2.087224781509454,0.01
3201024,2.0713812346699396,0.01
3401088,2.065914831156385,0.01
3601152,2.0466497167789797,0.01
3801216,2.042255419668328,0.01
4001280,2.019294045368705,0.0
4201344,1.982578572200515,0.0
4401408,1.9610924853503038,0.0
4601472,1.9561174829542716,0.0
4801536,1.951636651428511,0.0
5001600,1.943378196643449,0.0
5201664,1.9386168563939759,0.01
