step,ppl,loss
200064,6.4593459604350665,0.01
400128,2.840931901637857,0.01
600192,2.335785285056739,0.01
800256,2.174979189323496,0.01
1000320,2.0783510532719682,0.01
1200384,2.005017346857805,0.01
1400448,1.9680754713482393,0.01
1600512,1.9071387111648055,0.01
1800576,1.8864947458102,0.02
2000640,1.8591898560907538,0.0
2200704,1.8442274334678725,0.0
2400768,1.8261385968066746,0.0
2600832,1.8160525376725578,0.0
2800896,1.7979469106863835,0.0
3000960,1.78292461293976,0.0
3201024,1.774655667669532,0.01
3401088,1.7671325011822216,0.01
3601152,1.7594831921491598,0.01
3801216,1.749754546583733,0.01
4001280,1.7408558954749451,0.0
