step,ppl,loss
100032,33.20631285700071,0.01
200064,8.736908995785447,0.01
300096,4.940253626371114,0.01
400128,3.902164902744251,0.01
500160,3.169701393916803,0.01
600192,2.9385029335659962,0.01
700224,2.76339323115898,0.02
800256,2.6808865113076292,0.02
900288,2.521483772347951,0.02
1000320,2.4664449871131846,0.0
1100352,2.411874969331351,0.0
1200384,2.3699105472736233,0.0
1300416,2.423271018798963,0.0
1400448,2.345962478859487,0.0
1500480,2.2742057973633583,0.0
1600512,2.233991871800999,0.01
1700544,2.216934318518405,0.01
1800576,2.1939983426828644,0.01
1900608,2.1849923171693124,0.01
2000640,2.159547191653277,0.0
2100672,2.1069889666568447,0.0
2200704,2.092651957651537,0.0
2300736,2.0846311140301177,0.0
2400768,2.0767708928549693,0.0
2500800,2.0633535669067373,0.0
2600832,2.060402464798927,0.0
2700864,2.0481586702767514,0.01
2800896,2.042956320274211,0.01
2900928,2.0379519331752407,0.01
3000960,2.0311983309397,0.0
3100992,2.0317558859529914,0.0
3201024,2.0190858196331973,0.0
3301056,2.023616883189718,0.0
3401088,2.009398328990882,0.0
3501120,2.0085927182622196,0.0
3601152,2.00139858295354,0.0
3701184,1.9979674180323637,0.0
3801216,1.9949584062936818,0.01
3901248,1.9868022870174828,0.01
4001280,1.983315727732542,0.0
4101312,1.962931825972461,0.0
4201344,1.9589356031956526,0.0
4301376,1.9545295390544084,0.0
4401408,1.9509501107072333,0.0
4501440,1.9493831593142432,0.0
4601472,1.9466406105745098,0.0
4701504,1.9420980924460067,0.0
4801536,1.9413865908947454,0.01
4901568,1.9396267726843424,0.01
5001600,1.9373847624449823,0.0
5101632,1.9348832739682256,0.0
5201664,1.9325668576163197,0.0
5301696,1.9298206289772282,0.0
5401728,1.9283453670350037,0.0
5501760,1.926077806366547,0.0
5601792,1.923045194167826,0.0
5701824,1.9199549199805797,0.0
5801856,1.9220494833606467,0.01
5901888,1.9161198462323459,0.01
6001920,1.9156580693265097,0.0
6101952,1.9075957202730813,0.0
6201984,1.9059567445383045,0.0
6302016,1.904913633085644,0.0
6402048,1.9038210696999527,0.0
6502080,1.9021802997619206,0.0
6602112,1.9023347385827207,0.0
6702144,1.8987499768894227,0.0
6802176,1.8968869707117173,0.01
6902208,1.898065376356973,0.01
7002240,1.8959099865967861,0.0
7102272,1.895178055477353,0.0
7202304,1.8941718702400547,0.0
7302336,1.893680030406556,0.0
7402368,1.892393048789908,0.0
7502400,1.8919224742761205,0.0
7602432,1.8897816891698815,0.0
7702464,1.8889763921170102,0.0
7802496,1.887070829614776,0.01
7902528,1.8859015577785145,0.01
100032,1.8823317727218032,0.0
200064,1.8818412235084863,0.0
300096,1.8815177675149688,0.0
400128,1.8807806680013646,0.0
500160,1.880308040680288,0.0
600192,1.8801115412710592,0.0
700224,1.8787434620599937,0.0
800256,1.8792421761579263,0.0
900288,1.878695322234159,0.01
1000320,1.8774463688924734,0.0
1100352,1.8772073058684793,0.0
1200384,1.8782641165713174,0.0
1300416,1.8770301288819606,0.0
1400448,1.877319294603588,0.0
1500480,1.8764535918074776,0.0
1600512,1.876990278604543,0.0
1700544,1.87594118839034,0.0
1800576,1.8750417911506068,0.0
