step,ppl,loss
100032,82.70325085083819,0.01
200064,22.000228460995924,0.01
300096,11.5529863629141,0.01
400128,7.892238892324718,0.01
500160,6.273403577896351,0.02
600192,5.408018953712177,0.02
700224,4.925695790586956,0.02
800256,4.5020898076554285,0.02
900288,4.175657993831556,0.02
1000320,3.9902897059409614,0.0
1100352,3.800941604588377,0.0
1200384,3.652514308813281,0.0
1300416,3.5286897444130685,0.0
1400448,3.4425841630614866,0.01
1500480,3.355710211910634,0.01
1600512,3.2796928585422043,0.01
1700544,3.216171926833659,0.01
1800576,3.149260120671719,0.01
1900608,3.099882087469778,0.01
2000640,3.0505748457997406,0.0
2100672,2.9820429989877053,0.0
2200704,2.9373558146301297,0.0
2300736,2.915380601259992,0.0
2400768,2.8934098864173468,0.0
2500800,2.8705522245321036,0.01
2600832,2.848829591022225,0.01
2700864,2.83529132155072,0.01
2800896,2.819522546232217,0.01
2900928,2.7964438843102664,0.01
3000960,2.7792992146845004,0.0
3100992,2.761845126224264,0.0
3201024,2.7533806163981045,0.0
3301056,2.741158520133385,0.0
3401088,2.717928862857608,0.0
3501120,2.707791790438586,0.01
3601152,2.6970026664381788,0.01
3701184,2.6824804171811674,0.01
3801216,2.6728867892325208,0.01
3901248,2.6574772800019426,0.01
4001280,2.643000811543439,0.0
4101312,2.617541439558061,0.0
4201344,2.609473621751202,0.0
4301376,2.604236392946264,0.0
4401408,2.596623031488914,0.0
4501440,2.591430667222355,0.01
4601472,2.5859021310363897,0.01
4701504,2.5774875389058796,0.01
4801536,2.5722187675787245,0.01
4901568,2.5645215709264364,0.01
5001600,2.56134711502854,0.0
5101632,2.558550968821698,0.0
