step,ppl,loss
100032,44.43654275636411,0.01
200064,11.108751729934815,0.01
300096,5.782026242397305,0.01
400128,4.457216568751529,0.01
500160,3.509263991542177,0.01
600192,3.133880655642901,0.02
700224,2.9118271413079646,0.02
800256,2.8053305945211346,0.02
900288,2.6539028226482864,0.02
1000320,2.565329970633355,0.0
1100352,2.509826137245397,0.0
1200384,2.4759905438800835,0.0
1300416,2.4240016754811853,0.0
1400448,2.389100042477358,0.0
1500480,2.349080880984556,0.0
1600512,2.3307740933212733,0.01
1700544,2.2970114196877858,0.01
1800576,2.270320515370813,0.01
1900608,2.2517640734817297,0.01
2000640,2.226406993644777,0.0
2100672,2.1774573210776134,0.0
2200704,2.1675228429766022,0.0
2300736,2.1529465847942273,0.0
2400768,2.144245387500451,0.0
2500800,2.1358395716112546,0.0
2600832,2.1239785322521567,0.0
2700864,2.1123703044985853,0.01
2800896,2.111458670066034,0.01
2900928,2.113922962618762,0.01
3000960,2.09895704559213,0.0
3100992,2.0906721943897115,0.0
3201024,2.0824545372995753,0.0
3301056,2.080735976141535,0.0
3401088,2.0802308914901406,0.0
3501120,2.069847674669246,0.0
3601152,2.0676436317121243,0.0
3701184,2.0572875164254074,0.01
3801216,2.051860826246443,0.01
3901248,2.0489942822181,0.01
4001280,2.0386479626246605,0.0
4101312,2.027897017737148,0.0
4201344,2.026253060009548,0.0
4301376,2.019699716146679,0.0
4401408,2.014016539729255,0.0
4501440,2.011258163140677,0.0
4601472,2.008135328536607,0.0
4701504,2.005142449121364,0.0
4801536,2.006298873657005,0.01
4901568,2.001218868791587,0.01
5001600,1.9984598982932253,0.0
5101632,1.9946552477036412,0.0
5201664,1.994173438701768,0.0
5301696,1.9898061592144785,0.0
5401728,1.9912804361020175,0.0
5501760,1.9851428640268698,0.0
5601792,1.9853003119098234,0.0
5701824,1.9855056628025305,0.0
5801856,1.9816469249081334,0.01
5901888,1.9844853451440823,0.01
6001920,1.9785335881057768,0.0
6101952,1.9697568239041705,0.0
6201984,1.9695714306026348,0.0
6302016,1.9692410735611512,0.0
6402048,1.96639845505164,0.0
6502080,1.9646757675217845,0.0
6602112,1.9627701980377756,0.0
6702144,1.9628400469999954,0.0
6802176,1.9636635005417664,0.01
6902208,1.9616235655314842,0.01
7002240,1.9593030889164427,0.0
7102272,1.9559895913056975,0.0
7202304,1.9572397928201803,0.0
7302336,1.9557944649813415,0.0
7402368,1.953285836947758,0.0
7502400,1.953092039869049,0.0
7602432,1.952483122986023,0.0
7702464,1.9537853005933776,0.0
7802496,1.9529431477447683,0.01
7902528,1.9505954496865772,0.01
100032,1.9480952814273107,0.0
200064,1.945149009962795,0.0
300096,1.944766828087686,0.0
400128,1.9444660867791554,0.0
500160,1.9445345405600882,0.0
600192,1.9443177141801684,0.0
700224,1.9431622064613927,0.0
800256,1.9420764204604877,0.01
900288,1.9441237720415472,0.01
1000320,1.9434606661740896,0.0
1100352,1.9416260643237093,0.0
1200384,1.9418802001115913,0.0
1300416,1.9417270226823151,0.0
1400448,1.9407509403448444,0.0
1500480,1.940499038657167,0.0
1600512,1.9398658059981766,0.0
1700544,1.9405640026717277,0.0
1800576,1.9415698304993378,0.01
1900608,1.9402853744945605,0.01
2000640,1.9397677386284777,0.0
2100672,1.938078963873175,0.0
2200704,1.9375456585121216,0.0
2300736,1.93628601200312,0.0
2400768,1.9359924394274104,0.0
2500800,1.936285779159428,0.0
2600832,1.936121802918352,0.0
2700864,1.9348361426853313,0.0
2800896,1.9354713846810347,0.01
2900928,1.9341768904791603,0.01
